round,client_id,epoch,phase,loss,accuracy,precision,recall,f1,source_file,model
1,-1,1,train,1.7537089931143468,0.4680145840238647,0.4624846741551128,0.4680145840238647,0.4594502806952492,training_metrics_centralized_20250806_132751.csv,DistilBART
1,-1,-1,validation,1.0704357624053955,0.6646045072912063,0.652947123588533,0.6646045072912063,0.6516330025167079,training_metrics_centralized_20250806_132751.csv,DistilBART
2,-1,2,train,0.965148127897784,0.6985968401281626,0.6925776277218226,0.6985968401281626,0.6921032585282813,training_metrics_centralized_20250806_132751.csv,DistilBART
2,-1,-1,validation,0.9332238920164614,0.7096774193548387,0.70173158060533,0.7096774193548387,0.7013058240989813,training_metrics_centralized_20250806_132751.csv,DistilBART
3,-1,3,train,0.7681464114236274,0.755496630206607,0.7550060811074426,0.755496630206607,0.752639714769067,training_metrics_centralized_20250806_132751.csv,DistilBART
3,-1,-1,validation,0.8933172265640312,0.7180733539549271,0.7189612766694325,0.7180733539549271,0.711482952719823,training_metrics_centralized_20250806_132751.csv,DistilBART
4,-1,4,train,0.6161708922895468,0.8074245939675174,0.8086042635572264,0.8074245939675174,0.8054764477425518,training_metrics_centralized_20250806_132751.csv,DistilBART
4,-1,-1,validation,0.9237395237881176,0.7202828104286345,0.7280150389247529,0.7202828104286345,0.7192975088223091,training_metrics_centralized_20250806_132751.csv,DistilBART
5,-1,5,train,0.5015415160031496,0.8426693183073694,0.8440642188570834,0.8426693183073694,0.8421890891379588,training_metrics_centralized_20250806_132751.csv,DistilBART
5,-1,-1,validation,0.9319655480185792,0.7300044189129474,0.7414102684158759,0.7300044189129474,0.729351986016798,training_metrics_centralized_20250806_132751.csv,DistilBART
6,-1,6,train,0.3936089840947976,0.8800132582035134,0.8838152478625958,0.8800132582035134,0.8806307515892038,training_metrics_centralized_20250806_132751.csv,DistilBART
6,-1,-1,validation,0.9658503994747154,0.7255855059655325,0.7376014821570079,0.7255855059655325,0.72678059554882,training_metrics_centralized_20250806_132751.csv,DistilBART
7,-1,7,train,0.3168723094947603,0.905203844879019,0.9080958262682304,0.905203844879019,0.9056415653408312,training_metrics_centralized_20250806_132751.csv,DistilBART
7,-1,-1,validation,1.030951830905668,0.724259832081308,0.7376754716383049,0.724259832081308,0.726282383577527,training_metrics_centralized_20250806_132751.csv,DistilBART
8,-1,8,train,0.2498527641299957,0.927411335764004,0.9314441901929512,0.927411335764004,0.9283960275501522,training_metrics_centralized_20250806_132751.csv,DistilBART
8,-1,-1,validation,1.0923633855132406,0.7357490057445868,0.7453929107617543,0.7357490057445868,0.7373405403435536,training_metrics_centralized_20250806_132751.csv,DistilBART
9,-1,9,train,0.2067137027886209,0.939233233896807,0.9418970211143226,0.939233233896807,0.9399723770276408,training_metrics_centralized_20250806_132751.csv,DistilBART
9,-1,-1,validation,1.1117894111189648,0.7330976579761379,0.7393128446445104,0.7330976579761379,0.7332001461849774,training_metrics_centralized_20250806_132751.csv,DistilBART
10,-1,10,train,0.1686000217804553,0.951276102088167,0.953938717552796,0.951276102088167,0.95198493088219,training_metrics_centralized_20250806_132751.csv,DistilBART
10,-1,-1,validation,1.2055948025451533,0.725143614670791,0.7378124307600782,0.725143614670791,0.7250933607096028,training_metrics_centralized_20250806_132751.csv,DistilBART
11,-1,11,train,0.1647191634247418,0.9506131919124958,0.9527221308131112,0.9506131919124958,0.9511782770380832,training_metrics_centralized_20250806_132751.csv,DistilBART
11,-1,-1,validation,1.2037080641051874,0.7313300927971719,0.7435183026070115,0.7313300927971719,0.7335011195467487,training_metrics_centralized_20250806_132751.csv,DistilBART
12,-1,12,train,0.134997260128333,0.9608882996353996,0.9634892972449411,0.9608882996353996,0.961569698765587,training_metrics_centralized_20250806_132751.csv,DistilBART
12,-1,-1,validation,1.2446640411123646,0.7366327883340699,0.748491235664894,0.7366327883340699,0.7388000339951185,training_metrics_centralized_20250806_132751.csv,DistilBART
13,-1,13,train,0.126039276823756,0.9638713954259198,0.9669245723010388,0.9638713954259198,0.9647028250366704,training_metrics_centralized_20250806_132751.csv,DistilBART
13,-1,-1,validation,1.2798489004640112,0.7304463102076889,0.745442825354625,0.7304463102076889,0.7329538550280393,training_metrics_centralized_20250806_132751.csv,DistilBART
14,-1,14,train,0.1183864221785874,0.9653077008065408,0.96783266018507,0.9653077008065408,0.9659716195889436,training_metrics_centralized_20250806_132751.csv,DistilBART
14,-1,-1,validation,1.266333277593737,0.7304463102076889,0.7410440430830713,0.7304463102076889,0.7322595818838599,training_metrics_centralized_20250806_132751.csv,DistilBART
15,-1,15,train,0.1070313344445995,0.9696166169484036,0.9716621926602484,0.9696166169484036,0.9701366848172596,training_metrics_centralized_20250806_132751.csv,DistilBART
15,-1,-1,validation,1.2830274832299615,0.7361908970393283,0.7492388398911406,0.7361908970393283,0.7386550012286767,training_metrics_centralized_20250806_132751.csv,DistilBART
16,-1,16,train,0.1161691224712704,0.966412551099326,0.9690593982184011,0.966412551099326,0.9671344792337287,training_metrics_centralized_20250806_132751.csv,DistilBART
16,-1,-1,validation,1.3186948657675084,0.7344233318603623,0.7403898775721223,0.7344233318603623,0.7331864401760337,training_metrics_centralized_20250806_132751.csv,DistilBART
17,-1,17,train,0.1123204440479154,0.966191581040769,0.96977443629794,0.966191581040769,0.9671776500931576,training_metrics_centralized_20250806_132751.csv,DistilBART
17,-1,-1,validation,1.3437310143081018,0.7348652231551038,0.743200277077551,0.7348652231551038,0.7352789652550604,training_metrics_centralized_20250806_132751.csv,DistilBART
18,-1,18,train,0.105361407631025,0.968511766655618,0.9715462565083068,0.968511766655618,0.9693190769359662,training_metrics_centralized_20250806_132751.csv,DistilBART
18,-1,-1,validation,1.3550537604414497,0.7392841361025188,0.747743139496408,0.7392841361025188,0.7380247490181141,training_metrics_centralized_20250806_132751.csv,DistilBART
19,-1,19,train,0.1096340923546134,0.9655286708650976,0.9677591939483816,0.9655286708650976,0.966123138439454,training_metrics_centralized_20250806_132751.csv,DistilBART
19,-1,-1,validation,1.390925066366869,0.7322138753866548,0.751142431095719,0.7322138753866548,0.7361267352779318,training_metrics_centralized_20250806_132751.csv,DistilBART
20,-1,20,train,0.113149608082112,0.966412551099326,0.9702005047848042,0.966412551099326,0.967438441460894,training_metrics_centralized_20250806_132751.csv,DistilBART
20,-1,-1,validation,1.4218993574209542,0.7375165709235528,0.748693782686713,0.7375165709235528,0.7395289304910341,training_metrics_centralized_20250806_132751.csv,DistilBART
21,-1,21,train,0.0966788841254228,0.97138437741686,0.9742729332509894,0.97138437741686,0.9721461972722962,training_metrics_centralized_20250806_132751.csv,DistilBART
21,-1,-1,validation,1.43939518049695,0.7291206363234645,0.7383961484170894,0.7291206363234645,0.7314000531493602,training_metrics_centralized_20250806_132751.csv,DistilBART
22,-1,22,train,0.0935996377383718,0.9720472875925312,0.9744927189223048,0.9720472875925312,0.972721758796071,training_metrics_centralized_20250806_132751.csv,DistilBART
22,-1,-1,validation,1.434374773142141,0.7326557666813964,0.7445279904420791,0.7326557666813964,0.7353809649657671,training_metrics_centralized_20250806_132751.csv,DistilBART
22,-1,22,test,1.7407539763463529,0.694768985661179,0.7096081681786929,0.694768985661179,0.6976495706457794,training_metrics_centralized_20250806_132751.csv,DistilBART
1,-1,1,train,1.7337057115016472,0.4727654402828417,0.4704269361837488,0.4727654402828417,0.4644841549260321,training_metrics_centralized_20250806_111734.csv,BART-large
1,-1,-1,validation,1.1147552380081622,0.6539991162174105,0.654579529315905,0.6539991162174105,0.6434313584982245,training_metrics_centralized_20250806_111734.csv,BART-large
2,-1,2,train,1.006278689266199,0.6882112473759806,0.6835994542346259,0.6882112473759806,0.6829789976317907,training_metrics_centralized_20250806_111734.csv,BART-large
2,-1,-1,validation,0.939068941985234,0.7079098541758727,0.7083053585419194,0.7079098541758727,0.7035552006593794,training_metrics_centralized_20250806_111734.csv,BART-large
3,-1,3,train,0.789954185298259,0.7546127499723787,0.7544825705314833,0.7546127499723787,0.7521481156077985,training_metrics_centralized_20250806_111734.csv,BART-large
3,-1,-1,validation,0.9261218784080798,0.7185152452496686,0.7235293356037606,0.7185152452496686,0.711774362137056,training_metrics_centralized_20250806_111734.csv,BART-large
4,-1,4,train,0.633514169425878,0.8014584023864766,0.8016810587658572,0.8014584023864766,0.7995375203665952,training_metrics_centralized_20250806_111734.csv,BART-large
4,-1,-1,validation,0.943998435426622,0.7229341581970835,0.7302367621748789,0.7229341581970835,0.7208150982890362,training_metrics_centralized_20250806_111734.csv,BART-large
5,-1,5,train,0.513571229558471,0.8397967075461275,0.8416731708371593,0.8397967075461275,0.8390033421981199,training_metrics_centralized_20250806_111734.csv,BART-large
5,-1,-1,validation,0.9536570530490088,0.726027397260274,0.7345621071296884,0.726027397260274,0.7244882177796113,training_metrics_centralized_20250806_111734.csv,BART-large
6,-1,6,train,0.4099763003169713,0.8748204618274223,0.8750393279293441,0.8748204618274223,0.8739278237795775,training_metrics_centralized_20250806_111734.csv,BART-large
6,-1,-1,validation,0.993380013316896,0.7273530711444984,0.7474932026819441,0.7273530711444984,0.7305467628096615,training_metrics_centralized_20250806_111734.csv,BART-large
7,-1,7,train,0.3237489136803875,0.90211026405922,0.9044178982086238,0.90211026405922,0.9026496871729824,training_metrics_centralized_20250806_111734.csv,BART-large
7,-1,-1,validation,1.0139313512284296,0.7348652231551038,0.7399879271988479,0.7348652231551038,0.7350612014143739,training_metrics_centralized_20250806_111734.csv,BART-large
8,-1,8,train,0.268933791459074,0.918683018451,0.9229739939182864,0.918683018451,0.919712862521238,training_metrics_centralized_20250806_111734.csv,BART-large
8,-1,-1,validation,1.1329391911854578,0.7247017233760495,0.7482858477381876,0.7247017233760495,0.7290782949574979,training_metrics_centralized_20250806_111734.csv,BART-large
9,-1,9,train,0.2239567818508447,0.9318307369351452,0.933922427069424,0.9318307369351452,0.9323385702308438,training_metrics_centralized_20250806_111734.csv,BART-large
9,-1,-1,validation,1.1700515207693034,0.7353071144498453,0.749931595799826,0.7353071144498453,0.7377058977160532,training_metrics_centralized_20250806_111734.csv,BART-large
10,-1,10,train,0.1821200884037401,0.9459728206827976,0.9477808173430806,0.9459728206827976,0.946418262740379,training_metrics_centralized_20250806_111734.csv,BART-large
10,-1,-1,validation,1.2182724837747705,0.7344233318603623,0.7394981330544692,0.7344233318603623,0.7323394726478802,training_metrics_centralized_20250806_111734.csv,BART-large
11,-1,11,train,0.1637999235752965,0.9500607667661032,0.9508437492884078,0.9500607667661032,0.9502432042361472,training_metrics_centralized_20250806_111734.csv,BART-large
11,-1,-1,validation,1.262485715527089,0.7423773751657092,0.7512608647605595,0.7423773751657092,0.7424433775155942,training_metrics_centralized_20250806_111734.csv,BART-large
12,-1,12,train,0.1399864592425818,0.9577947188156004,0.9599600161536102,0.9577947188156004,0.9583897036966535,training_metrics_centralized_20250806_111734.csv,BART-large
12,-1,-1,validation,1.4382323016056318,0.7264692885550155,0.7456641496421215,0.7264692885550155,0.7278249812687477,training_metrics_centralized_20250806_111734.csv,BART-large
13,-1,13,train,0.1263459772154892,0.9633189702795272,0.9657775836396952,0.9633189702795272,0.9639774399798016,training_metrics_centralized_20250806_111734.csv,BART-large
13,-1,-1,validation,1.4448535275588374,0.7348652231551038,0.7410140253166752,0.7348652231551038,0.7355582465133009,training_metrics_centralized_20250806_111734.csv,BART-large
14,-1,14,train,0.121355761771776,0.9654181858358192,0.966512279131996,0.9654181858358192,0.9657238893694524,training_metrics_centralized_20250806_111734.csv,BART-large
14,-1,-1,validation,1.5244736893923398,0.7406098099867433,0.752325831084653,0.7406098099867433,0.7418821147254746,training_metrics_centralized_20250806_111734.csv,BART-large
15,-1,15,train,0.1095432889308511,0.9663020660700476,0.9670519780110304,0.9663020660700476,0.9665009228395588,training_metrics_centralized_20250806_111734.csv,BART-large
15,-1,-1,validation,1.5287935280061309,0.7432611577551922,0.7558601834820141,0.7432611577551922,0.7458535340739894,training_metrics_centralized_20250806_111734.csv,BART-large
16,-1,16,train,0.1076810915533845,0.9682907965970612,0.971031124568894,0.9682907965970612,0.9690303506198708,training_metrics_centralized_20250806_111734.csv,BART-large
16,-1,-1,validation,1.6042697255907117,0.7419354838709677,0.749332234073642,0.7419354838709677,0.742183146511567,training_metrics_centralized_20250806_111734.csv,BART-large
17,-1,17,train,0.1051617566271016,0.9679593415092256,0.9691901264309952,0.9679593415092256,0.9682697946978958,training_metrics_centralized_20250806_111734.csv,BART-large
17,-1,-1,validation,1.666460605769991,0.7379584622182943,0.7416013155688359,0.7379584622182943,0.7364111538159579,training_metrics_centralized_20250806_111734.csv,BART-large
18,-1,18,train,0.1093808946233086,0.968069826538504,0.9702055591226648,0.968069826538504,0.9686397015482316,training_metrics_centralized_20250806_111734.csv,BART-large
18,-1,-1,validation,1.7003497668573746,0.7353071144498453,0.7433690109011012,0.7353071144498453,0.7372295863944694,training_metrics_centralized_20250806_111734.csv,BART-large
19,-1,19,train,0.1012760860776389,0.9707214672411888,0.9729096759411446,0.9707214672411888,0.9713253918230628,training_metrics_centralized_20250806_111734.csv,BART-large
19,-1,-1,validation,1.6899931574350469,0.7388422448077773,0.7493995821330696,0.7388422448077773,0.7402575787160577,training_metrics_centralized_20250806_111734.csv,BART-large
20,-1,20,train,0.1025500602081592,0.9686222516848968,0.9694349183694376,0.9686222516848968,0.9688608048375518,training_metrics_centralized_20250806_111734.csv,BART-large
20,-1,-1,validation,1.6941898918961371,0.7379584622182943,0.747124392208344,0.7379584622182943,0.739261886082226,training_metrics_centralized_20250806_111734.csv,BART-large
21,-1,21,train,0.0971235663615747,0.9706109822119104,0.9736083328560158,0.9706109822119104,0.971424730016196,training_metrics_centralized_20250806_111734.csv,BART-large
21,-1,-1,validation,1.757813929063019,0.7344233318603623,0.7413800625327603,0.7344233318603623,0.7345765117207825,training_metrics_centralized_20250806_111734.csv,BART-large
22,-1,22,train,0.09522293003577,0.9714948624461386,0.9736831241033268,0.9714948624461386,0.9720797267169144,training_metrics_centralized_20250806_111734.csv,BART-large
22,-1,-1,validation,1.6872684028970042,0.7401679186920017,0.7401363386992724,0.7401679186920017,0.7395021761001,training_metrics_centralized_20250806_111734.csv,BART-large
23,-1,-1,test,2.101413161608801,0.7007434944237918,0.702206824797239,0.7007434944237918,0.7000549706465297,training_metrics_centralized_20250806_111734.csv,BART-large
