round,client_id,epoch,phase,loss,accuracy,precision,recall,f1
1,3,1,train,1.9010539142524494,0.44878957169459965,0.06486654252017379,0.006517690875232775,0.011845194721075217
1,2,1,train,1.3816871891419094,0.6285785411999004,0.018599804912101937,0.0948469006721434,0.03082039621528577
1,1,1,train,1.4546795500209555,0.5695769136708242,0.11842749983283919,0.021765712888236734,0.03598709203529032
1,5,1,train,1.5109474574233972,0.6142506142506142,0.10571570238137225,0.015356265356265357,0.024929694733200808
1,0,1,train,1.4721010371953427,0.614923134608174,0.03662332906061161,0.008998875140607425,0.014447735317488984
1,4,1,train,1.145190935913879,0.7963772642098688,0.010835926282350845,0.05933791380387258,0.01827645463726726
1,-1,1,validation,0.1609646668800941,0.323342175066313,0.38103389710330443,0.323342175066313,0.2617708485211767
2,3,1,train,1.4056265950202942,0.6368715083798883,0.3483997610833362,0.10893854748603352,0.08237799592241722
2,4,1,train,0.8036989968380716,0.8588382261086821,0.05570850101353355,0.0886945658963148,0.06772047159726689
2,2,1,train,0.9546210649053729,0.7475728155339806,0.6092274228563315,0.40004978839930294,0.3786602759199947
2,1,1,train,1.0219040357042104,0.7018831010026902,0.6473508715512397,0.45659085350941553,0.47564427734322456
2,5,1,train,0.9456204479815913,0.812039312039312,0.6541706726938862,0.41646191646191644,0.4899713076172605
2,0,1,train,1.0277283095314118,0.7367829021372329,0.361164438069074,0.17547806524184478,0.11578801387687734
2,-1,1,validation,0.1352551579791608,0.4005305039787798,0.40811873043576585,0.4005305039787798,0.33900347216714
3,4,1,train,0.6462064149356125,0.8850718301061836,0.08501169109017181,0.08806995627732667,0.08488980296621644
3,2,1,train,0.767621585241859,0.7759522031366691,0.8143240331538082,0.5603684341548419,0.5838176296584241
3,5,1,train,0.705251509798508,0.8445945945945945,0.6567278564034844,0.5116707616707616,0.5607272161599915
3,0,1,train,0.8446107414846649,0.769028871391076,0.3527915698856149,0.19985001874765654,0.13165537896744853
3,3,1,train,1.1408589648849823,0.7150837988826815,0.3592204749991768,0.1452513966480447,0.13573809481396523
3,1,1,train,0.8220017199637368,0.7539740767913915,0.7788215971223101,0.5651748593788213,0.5823924009145016
3,-1,1,validation,0.11793920898943427,0.43713527851458883,0.4398771447801794,0.43713527851458883,0.38181851352672913
4,2,1,train,0.6593487625202489,0.8058252427184466,0.8415963083159799,0.5929798356982823,0.6304605274184454
4,4,1,train,0.4902299129136718,0.9069331667707682,0.09264587620056516,0.08244846970643348,0.08531801848375091
4,1,1,train,0.6901203209999949,0.7867449254096356,0.8144875987554983,0.6617754952311079,0.6892556104271804
4,0,1,train,0.7229924935423685,0.7956505436820397,0.3533958343352717,0.21147356580427445,0.1544307029066363
4,5,1,train,0.5890578241909251,0.8617936117936118,0.663435051462248,0.5411547911547911,0.5800012623727727
4,3,1,train,1.014064285246765,0.7420856610800745,0.36908207920604985,0.23277467411545624,0.24310670467597054
4,-1,1,validation,0.10516414716642163,0.46657824933687003,0.498131460517567,0.46657824933687003,0.4137264658261561
5,1,1,train,0.5928160092153121,0.8121790168745414,0.8346073393903831,0.7317192467595989,0.7577379041829246
5,2,1,train,0.5615562808714689,0.8319641523525019,0.8601415869589195,0.6285785411999004,0.6678492195152078
5,0,1,train,0.6290188254175072,0.8098987626546682,0.6377557476733119,0.24334458192725908,0.2059914549919031
5,3,1,train,0.8958209367359385,0.7728119180633147,0.34584339663800834,0.2905027932960894,0.2936713176493578
5,4,1,train,0.3893159941060118,0.9206745783885072,0.5278564709689605,0.12429731417863835,0.15501462273780045
5,5,1,train,0.5131858347312492,0.8703931203931203,0.8673441555784587,0.542997542997543,0.5873553157165597
5,-1,1,validation,0.09595058394363767,0.5124668435013262,0.6562805365237333,0.5124668435013262,0.47884418698093933
6,4,1,train,0.3365449245908473,0.9256714553404123,0.9778831384085477,0.2523422860712055,0.32998090417692555
6,1,1,train,0.5209757730772253,0.8366348740523355,0.8595273277662396,0.7620445096600635,0.7915064567686915
6,2,1,train,0.4859817207805694,0.8483943241224794,0.8896936222325251,0.6763754045307443,0.7203707445140455
6,0,1,train,0.5594918947376891,0.8335208098987628,0.8582674863960608,0.32733408323959506,0.34087232201708106
6,3,1,train,0.8014031175304862,0.7914338919925512,0.8162738963085318,0.3324022346368715,0.35062372272682996
6,5,1,train,0.45821476041101944,0.8839066339066339,0.8751602530184681,0.5595823095823096,0.6066700774359074
6,-1,1,validation,0.09161362392674707,0.5477453580901857,0.662737288782251,0.5477453580901857,0.526894339736126
7,1,1,train,0.45325999494525604,0.8588897040841281,0.8797232624415126,0.768892149669846,0.8047449815880888
7,2,1,train,0.41501514536757317,0.8737864077669903,0.8987770115402947,0.7114762260393328,0.7565813268990983
7,0,1,train,0.4973071611034656,0.850018747656543,0.873570712951965,0.3910761154855643,0.4250441743730943
7,3,1,train,0.7351567232433487,0.8156424581005587,0.861603743255665,0.3808193668528864,0.4242504654431517
7,5,1,train,0.41903770364382686,0.8931203931203932,0.9796040127492103,0.5749385749385749,0.6317786530293525
7,4,1,train,0.29677428598377376,0.9344159900062461,0.9702811318289154,0.35540287320424735,0.4537876673095301
7,-1,1,validation,0.08498420497941085,0.5883289124668435,0.6844217582330958,0.5883289124668435,0.5793645584770133
8,0,1,train,0.4558467927896334,0.8623922009748781,0.8801244445211303,0.5080614923134609,0.5809060938620859
8,4,1,train,0.2787601166948824,0.9375390381011868,0.9742797870717251,0.429106808244847,0.5326129369845138
8,1,1,train,0.3962970134889474,0.876008804108584,0.9034019418693479,0.8258742968941062,0.8535144355649902
8,3,1,train,0.7058057070654982,0.8128491620111731,0.8534923043842899,0.4366852886405959,0.4842515859629261
8,2,1,train,0.3646550196193395,0.8924570575056012,0.919508418480816,0.7261638038337067,0.7777698825428416
8,5,1,train,0.3770516175119316,0.9097051597051597,0.9786809050369942,0.6234643734643734,0.7020325418834505
8,-1,1,validation,0.0823756429181491,0.6058355437665782,0.6942800253287645,0.6058355437665782,0.6067748288031211
9,1,1,train,0.3470295908773551,0.8875030569821472,0.9134626778349084,0.8219613597456591,0.8522377173217832
9,5,1,train,0.34548972638360426,0.910933660933661,0.979256799009254,0.6418918918918919,0.7286226677338872
9,3,1,train,0.6379799200769734,0.8324022346368715,0.8659704141198789,0.5037243947858473,0.5805520286166735
9,2,1,train,0.3205360228284484,0.9041573313417973,0.9290713140743373,0.7413492656211103,0.7914996611670645
9,4,1,train,0.23895138277128192,0.9456589631480325,0.9792239055652592,0.5465334166146159,0.6800199217765228
9,0,1,train,0.40724782119254155,0.8837645294338208,0.8865677196699403,0.5609298837645295,0.6341044216270714
9,-1,1,validation,0.08131056933093134,0.6209549071618037,0.6978375235001505,0.6209549071618037,0.622283451552658
10,3,1,train,0.6254894926267511,0.8519553072625698,0.8694302836117442,0.5353817504655494,0.6109343485185369
10,1,1,train,0.30321918361005373,0.9058449498654927,0.9286149867181238,0.8354120811934458,0.8661506822417776
10,4,1,train,0.22161237136599157,0.9487820112429732,0.9779426104672304,0.5877576514678327,0.7201930405404373
10,0,1,train,0.3766274483662522,0.8901387326584177,0.895760479424285,0.5943007124109486,0.669844884014035
10,5,1,train,0.3307774840835847,0.9170761670761671,0.9803887940791024,0.6732186732186732,0.7606056380270441
10,2,1,train,0.28254537908582106,0.9143639531989046,0.9340272526608929,0.7575304953945731,0.8078544591125535
10,-1,1,validation,0.07829796147757563,0.6474801061007958,0.7042327311981482,0.6474801061007958,0.6497475873320339
11,0,1,train,0.32616353585959196,0.9032620922384702,0.9030286952912425,0.6554180727409074,0.7284420314535526
11,2,1,train,0.24852066068717885,0.9210853871048046,0.9415332960883283,0.7856609410007468,0.8333354279724985
11,1,1,train,0.2692213900372735,0.9136708241623869,0.9439627459044301,0.8481291269258987,0.8807880160054324
11,3,1,train,0.6228794926667914,0.8324022346368715,0.8728626862428153,0.5549348230912476,0.6358875480433189
11,4,1,train,0.19939535734529543,0.9556527170518426,0.9746549648019005,0.6389756402248594,0.7582452752560513
11,5,1,train,0.29596914332725255,0.9281326781326782,0.983011279404391,0.6971744471744472,0.788052697531913
11,-1,1,validation,0.07978651786040247,0.6437665782493369,0.7036471964251814,0.6437665782493369,0.6465387096815209
12,2,1,train,0.22193986123302095,0.9317898929549415,0.9457885675055878,0.7923823749066468,0.8357278595105487
12,5,1,train,0.2773545806241386,0.9305896805896806,0.9838729701961255,0.7131449631449631,0.8037025234484592
12,4,1,train,0.1933006860481778,0.9512804497189257,0.9757932598983029,0.5971267957526546,0.7212917127016815
12,1,1,train,0.23401906224171398,0.9239422841770605,0.9517497439494202,0.8608461726583517,0.8946483193897363
12,0,1,train,0.3098903695891003,0.9088863892013498,0.9078744568911633,0.6797900262467191,0.7485924168200437
12,3,1,train,0.5917328244403881,0.8342644320297952,0.8761382341595599,0.5549348230912476,0.6410026644986457
12,-1,1,validation,0.07799246745969636,0.6527851458885942,0.6975940275738877,0.6527851458885942,0.6551190283045166
13,5,1,train,0.2584434212094136,0.9330466830466831,0.9850262278280087,0.7315724815724816,0.8194488133789265
13,1,1,train,0.20674047551074182,0.9371484470530692,0.9487234275988227,0.8686720469552458,0.8976450876096208
13,2,1,train,0.2038953573598216,0.9412496888225044,0.9721407467275425,0.7893950709484691,0.8451571570565798
13,0,1,train,0.28570139566492175,0.9130108736407949,0.9162933992052873,0.7225346831646045,0.7837564984518158
13,4,1,train,0.17367357077390547,0.9612742036227359,0.9809592154848474,0.68894440974391,0.8011303326431936
13,3,1,train,0.5864586521433118,0.8463687150837989,0.8679865326397461,0.5763500931098696,0.6597617854937906
13,-1,1,validation,0.08153239158167447,0.646684350132626,0.7033304228091755,0.646684350132626,0.6505607035927422
14,5,1,train,0.26662725003837956,0.9355036855036855,0.9848953021343468,0.7186732186732187,0.8096388536541734
14,1,1,train,0.17730632842722116,0.9459525556370751,0.9598898948106633,0.871606749816581,0.902578450854756
14,2,1,train,0.17001783454953323,0.9477221807318895,0.9546499515652886,0.8152850385860094,0.8562451696571829
14,4,1,train,0.16812533674079297,0.9618988132417239,0.9834354577232611,0.6808244846970644,0.7978816635168672
14,3,1,train,0.5631963638040949,0.8556797020484171,0.8744743575189059,0.5633147113594041,0.6499973750397724
14,0,1,train,0.24487891322570646,0.9280089988751407,0.9222128247155554,0.7180352455943008,0.7807515439994688
14,-1,1,validation,0.07869291810679499,0.6620689655172414,0.7040391639289755,0.6620689655172414,0.6654207347115806
15,1,1,train,0.16488527462570346,0.9483981413548546,0.9628073857342083,0.8894595255563708,0.9159413846518885
15,4,1,train,0.16070057513505812,0.9562773266708307,0.9849059104755983,0.6995627732667083,0.8117107963542699
15,2,1,train,0.15552308285305838,0.954941498630819,0.9796342562485181,0.833208862335076,0.8836635178913219
15,3,1,train,0.5282245425178724,0.8640595903165736,0.874769489855617,0.6070763500931099,0.6830014297988579
15,5,1,train,0.2529699706892465,0.9361179361179361,0.9849473632553456,0.7364864864864865,0.8250707611320461
15,0,1,train,0.22667943186567216,0.9321334833145856,0.9332026542415462,0.7585301837270341,0.8186695699921406
15,-1,1,validation,0.08125218380074602,0.6549071618037136,0.7059999792903153,0.6549071618037136,0.6610638715424083
16,3,1,train,0.5216419170884525,0.8640595903165736,0.8765838700215135,0.6033519553072626,0.6855382710879918
16,4,1,train,0.1565880034266427,0.9562773266708307,0.9864016266861361,0.6770768269831355,0.7932661623829524
16,2,1,train,0.14851833551952112,0.9556883246203633,0.9804992655274674,0.8454070201643017,0.8949274194327174
16,1,1,train,0.14769349569905899,0.9537784299339692,0.9581193365625594,0.8877476155539251,0.9139806074731016
16,0,1,train,0.2107680803332143,0.9377577802774653,0.9319657645598458,0.7465316835395576,0.807912186998567
16,5,1,train,0.24426346497756302,0.9416461916461917,0.9855589727951898,0.7278869778869779,0.8192916547689025
16,-1,1,validation,0.08013242838869676,0.6639257294429708,0.7036556925119367,0.6639257294429708,0.6688592989658644
17,1,1,train,0.1403536247125885,0.9545121056493031,0.9663117582814926,0.8963071655661531,0.9230943897104827
17,4,1,train,0.1378756654310492,0.9625234228607121,0.9873928617273298,0.7176764522173642,0.8239075777896777
17,5,1,train,0.23763666238964481,0.9342751842751842,0.9856528871547245,0.7641277641277642,0.8477090651782022
17,2,1,train,0.1316300856017892,0.9566840926064226,0.9799439582058742,0.8471496141399054,0.8933718857746669
17,0,1,train,0.20547759564716123,0.9415073115860517,0.937700612632695,0.7840269966254219,0.8382829310795712
17,3,1,train,0.5191442695829798,0.8538175046554934,0.881977843799759,0.6350093109869647,0.7119935911690135
17,-1,1,validation,0.08289886130617848,0.6641909814323608,0.7099685558387165,0.6641909814323608,0.6669052787367966
18,0,1,train,0.18436080379088124,0.9456317960254969,0.9332805717751979,0.7709036370453693,0.8249154727755473
18,5,1,train,0.2151580815860892,0.9477886977886978,0.9856177721033742,0.754914004914005,0.8395733491451279
18,2,1,train,0.1183193800139374,0.9631565845158079,0.9823344319293058,0.8501369180980831,0.8961147230691222
18,1,1,train,0.12673802614153828,0.958914159941306,0.9695501806426116,0.904866715578381,0.9300972827271378
18,4,1,train,0.14077716098526621,0.9600249843847596,0.9859108533384444,0.6801998750780762,0.7959916483872369
18,3,1,train,0.5249706999782253,0.8724394785847299,0.8913115022957284,0.6350093109869647,0.7164577933278468
18,-1,1,validation,0.08547811883672163,0.6580901856763925,0.7084357940765591,0.6580901856763925,0.6629516232732945
19,3,1,train,0.5281801037490368,0.8733705772811917,0.8862025482589773,0.6229050279329609,0.705136154090527
19,5,1,train,0.21935164432643967,0.9398034398034397,0.9858516797881958,0.7426289926289926,0.8314159526574606
19,1,1,train,0.12394920878796256,0.958669601369528,0.9707368797161409,0.9153827341648325,0.937334538389707
19,0,1,train,0.16293758495214455,0.9542557180352457,0.9327949945070497,0.7529058867641545,0.810011825560206
19,2,1,train,0.11260237219828433,0.9663928304705004,0.9838134219986515,0.8496390341050535,0.8952750010147028
19,4,1,train,0.1289698478977869,0.9637726420986883,0.9856561869719619,0.7089319175515303,0.8158776528217705
19,-1,1,validation,0.08077906372929758,0.6750663129973474,0.7105745535357072,0.6750663129973474,0.6800612015137124
20,1,1,train,0.11874649461424269,0.9606260699437515,0.9717748993857999,0.9095133284421619,0.9331894613902402
20,5,1,train,0.1982903866572123,0.9533169533169533,0.9857109259362169,0.7776412776412777,0.8566640945064553
20,0,1,train,0.15659185259151245,0.9546306711661042,0.9478531185498522,0.802774653168354,0.8543288572865967
20,3,1,train,0.45233398467740593,0.8910614525139665,0.8889953238489023,0.664804469273743,0.7397013407846925
20,4,1,train,0.1206624111769223,0.9725171767645222,0.9879697731120458,0.7232979387882573,0.827722889596321
20,2,1,train,0.10459947253167186,0.968135424446104,0.9837059394325354,0.8894697535474234,0.9258632828666487
20,-1,1,validation,0.08495433764132011,0.6689655172413793,0.7117418675290054,0.6689655172413793,0.6739219120588932
21,4,1,train,0.12537820201072067,0.9681449094316052,0.989196925701497,0.7882573391630231,0.8735752502596181
21,1,1,train,0.10407749488058471,0.9652726828075323,0.9767822974318355,0.8980190755685987,0.9230894680060682
21,2,1,train,0.09199906045574203,0.970873786407767,0.9658695389521416,0.8827483196415236,0.9106330638666407
21,5,1,train,0.18418973082603485,0.9551597051597053,0.9856693475861409,0.765970515970516,0.8498972629689845
21,0,1,train,0.14189652443869027,0.958005249343832,0.941850140658174,0.7956505436820397,0.8452777654141304
21,3,1,train,0.4643809214124785,0.8789571694599627,0.9001918916678997,0.6629422718808193,0.738856889458409
21,-1,1,validation,0.08542650201078751,0.673209549071618,0.7053666781460229,0.673209549071618,0.6741801827840425
22,5,1,train,0.16787451217590155,0.9588452088452089,0.986009918950745,0.7788697788697788,0.8586265989908515
22,0,1,train,0.12297911432287294,0.9673790776152981,0.9488319968922284,0.8387701537307837,0.8777205245739346
22,2,1,train,0.08781044987688166,0.9716206123973115,0.9841440755139784,0.8506348020911128,0.8898742563744264
22,4,1,train,0.10181217500939965,0.976264834478451,0.9878957974498263,0.7651467832604623,0.8569651229200641
22,1,1,train,0.10198698891417735,0.9647835656639765,0.9747519840333061,0.9185619955979457,0.9410030919209488
22,3,1,train,0.46671327247339134,0.8761638733705773,0.8964413544420075,0.6582867783985102,0.7371934038708124
22,-1,1,validation,0.08771122062988876,0.6750663129973474,0.7139753564371389,0.6750663129973474,0.6810925246606976
